concept_id,prompt_index,both_bad_v2_count,both_bad_v2_case_ids,prompt
csv_prompt_001,1,1,csv_prompt_001__booru-tags__v1,"original character art by Rebecca Sugar, adult swim, wide shot isolated, 00s graphic poster, Japan new graphic design, luminous white base sparse blue and cyan, greys, silver, pastels, neon fluo colors, hotpink, yellowgreen, detailed minimalist, Gucci, Warhol"
csv_prompt_008,8,4,csv_prompt_008__booru-tags__v3;csv_prompt_008__booru-tags__v2;csv_prompt_008__booru-tags__v0;csv_prompt_008__booru-tags__v1,"colorful comic book pulp art, pop art, beautiful super stylish 1980s newwave vaporwave female in a swanky wild heraldic synthwave bar, ink splatters, dynamic, clean lines, graphic novel, neon colors, style of Frank Frazetta and Patrick Nagel and Yoji Shinkawa and Gil Elvgren"
csv_prompt_012,12,4,csv_prompt_012__booru-tags__v0;csv_prompt_012__booru-tags__v1;csv_prompt_012__booru-tags__v2;csv_prompt_012__booru-tags__v3,"magic the gathering, in the style of sci-fi art, dark gray and light crimson, jessie arms botke, explosive and chaotic, nouveau réalisme, jean fouquet, aleksi briclot"
csv_prompt_019,19,3,csv_prompt_019__booru-tags__v3;csv_prompt_019__booru-tags__v2;csv_prompt_019__booru-tags__v0,"Dystopian Art Deco scene, Hell, Hades, Abyss by Mary Blair and Koloman Moser and Luigi Russolo"
csv_prompt_021,21,1,csv_prompt_021__booru-tags__v0,"stunning 70mm still photography, loki desire fueled by fire, highly detailed fabric, subtle catchlight, subtle filmgrain, balanced composition ::2 closeup evocative minimalism ::1 hdr photography, award winning, fashion - inspired, poster - subtle freckles"
csv_prompt_027,27,1,csv_prompt_027__booru-tags__v3,"space warrior dressed in cave woman attire, blue and purple, hazy, 80s, anime, aesthetic, leiji matsumoto, galaxy express 999, detective mystery"
csv_prompt_032,32,1,csv_prompt_032__booru-tags__v3,"colorized seascape at night, lighthouse, in the style of graphic novel inspired illustrations, intricate landscapes, guatemalan art, #pixelart, poster art, sublime wilderness, high-contrast shading, stylized, van gogh, Screenprint, Op art, Glitch art"
csv_prompt_038,38,4,csv_prompt_038__booru-tags__v1;csv_prompt_038__booru-tags__v3;csv_prompt_038__booru-tags__v0;csv_prompt_038__booru-tags__v2,"D&D Monster, Ghoul, horror, concept art, stylized, Disco Elysium Style, electrochemistry disco elysium, in the style of Aleksander Rostov, Portrait"
csv_prompt_050,50,1,csv_prompt_050__booru-tags__v2,"The Orphan Solryn (Capricorn) Domain: Survival, Endurance, Self-Reliance Symbols: A broken chain, frostbitten trees, ember-like eyes Appearance: A cloaked figure, their face weathered but their gaze unyielding. Myth: Solryn was abandoned by the gods themselves, yet rose from the shadows through sheer resilience, now watching over those who walk alone"
csv_prompt_058,58,1,csv_prompt_058__booru-tags__v0,"A simple line drawing of coffee set and books, isolated on a white background, in the style of Gemma Correll and Bill Watterson"
csv_prompt_074,74,2,csv_prompt_074__booru-tags__v1;csv_prompt_074__booru-tags__v3,"A cartoon girl DJ is spinning records, and one of her hands is stretched out towards the camera, creating a particularly large effect"
csv_prompt_088,88,4,csv_prompt_088__booru-tags__v0;csv_prompt_088__booru-tags__v3;csv_prompt_088__booru-tags__v2;csv_prompt_088__booru-tags__v1,"The game employs a 3D CG style, depicting a female athlete dressed in a stylish summer short-sleeved tracksuit. The lighting effects against the backdrop of dawn, the archery training range in the stadium, the archer's posture aiming at the distant bullseye, and the minimalist, ethereal visual style, combined with high-contrast lighting and a tranquil, simple background, all contribute to an immersive gaming experience. The high-contrast color scheme and extremely high color saturation are rendered using the Unreal Engine"
csv_prompt_092,92,2,csv_prompt_092__booru-tags__v2;csv_prompt_092__booru-tags__v0,"Street Photography, creative, expressive, unique, high-quality, Canon EOS 5D Mark IV DSLR, f/5.6 aperture, 1/125 second shutter speed, ISO 100, Adobe Photoshop, award-winning, glibatree style, experimental techniques, unusual perspectives, attention to detail"
csv_prompt_097,97,2,csv_prompt_097__booru-tags__v2;csv_prompt_097__booru-tags__v0,"Designer vinyl art toy mascot, stylized animal figurine, a playful horse, mix of heroic blocky and curved forms, carved vinyl style, bold attitude and swagger. Sculpted with clear planes and chunky, powerful proportions, large oversized paws. Features an oversized head, embossed anime emoji expression (^_~), expressive dynamic pose, confident pose. Bold posterized colors."
csv_prompt_100,100,1,csv_prompt_100__booru-tags__v1,"sexy cute brunette woman, arcane style, arcanestyle, leagueofstyle, hand painted textures, stylized, centered, looking at viewer, beautiful eyes, Intricate rendering, meticulously hand painted texture, deep and vibrant scene, sophisticated color palette, saturated hues, stylized lighting, moody atmospheric effect, stylized, mix between 2D and 3D, expressive character design, exaggerated features, emotive expressions, fluid motion, kinetic energy, hand-painted effects, dynamic camera angle, dynamic movements, lighting and shadow for dramatic effect, strong contrast, rich painterly quality, interplay of light and dark, illusion of 3D, Distinctive look that is both western and anime inspired, lush, immersive, traditional painting crossed with digital animation, grounded and fantastical, fusion of 2D and 3D, painterly quality, rich in texture, depth, chiaroscuro effect, exaggerated and expressive facial features, emotive eyes, visually striking color, vibrant colors against muted tones, dynamic brushwork, movement and energy, flowing hair, subtle textures"
